x,y,MAX_REL_HUMIDITY_FLAG,MAX_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,LOCAL_YEAR,SPEED_MAX_GUST,MAX_TEMPERATURE,ID,DIRECTION_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,CLIMATE_IDENTIFIER,LOCAL_DAY,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_DATE,STATION_NAME,MAX_REL_HUMIDITY,PROVINCE_CODE,LOCAL_MONTH,TOTAL_SNOW,TOTAL_RAIN_FLAG,TOTAL_SNOW_FLAG,TOTAL_RAIN
-73.37666666666667,45.723055555555554,,,,2,,,2011,37,4,702327X.2011.4.1,,,,0,702327X,1,1.7,16.3,,-0.7,,,68,,M,2011-04-01 00:00:00,VARENNES,94,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,29,,,2011,46,10.5,702327X.2011.4.2,,,,0,702327X,2,5.3,12.7,,0.1,,,37,,M,2011-04-02 00:00:00,VARENNES,91,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,30,,,2011,37,8.6,702327X.2011.4.3,,,,0,702327X,3,4.1,13.9,,-0.5,,,31,,M,2011-04-03 00:00:00,VARENNES,62,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,20,,,2011,48,8.2,702327X.2011.4.4,,,,0,702327X,4,4,14,,-0.2,,,50,,M,2011-04-04 00:00:00,VARENNES,93,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,24,,,2011,54,9.1,702327X.2011.4.5,,,,0,702327X,5,4.5,13.5,,-0.1,,,59,,M,2011-04-05 00:00:00,VARENNES,93,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,27,,,2011,46,4,702327X.2011.4.6,,,,0,702327X,6,0.8,17.2,,-2.4,,,40,,M,2011-04-06 00:00:00,VARENNES,78,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,0,,,2011,0,7.7,702327X.2011.4.7,,,,0,702327X,7,1.6,16.4,,-4.6,,,34,,M,2011-04-07 00:00:00,VARENNES,79,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,0,,,2011,0,11.7,702327X.2011.4.8,,,,0,702327X,8,3.8,14.2,,-4.1,,,24,,M,2011-04-08 00:00:00,VARENNES,89,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,0,,,2011,0,14.5,702327X.2011.4.9,,,,0,702327X,9,7.3,10.7,,0,,,31,,M,2011-04-09 00:00:00,VARENNES,76,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,18,,,2011,41,16.3,702327X.2011.4.10,,,,0,702327X,10,7.6,10.4,,-1.2,,,40,,M,2011-04-10 00:00:00,VARENNES,92,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,21,,,2011,70,21.3,702327X.2011.4.11,,,,0,702327X,11,14.8,3.2,,8.2,,,52,,M,2011-04-11 00:00:00,VARENNES,93,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,30,,,2011,56,14.3,702327X.2011.4.12,,,,0,702327X,12,7.3,10.7,,0.3,,,17,,M,2011-04-12 00:00:00,VARENNES,77,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,10,,,2011,32,8.7,702327X.2011.4.13,,,,0,702327X,13,4.4,13.6,,0,,,62,,M,2011-04-13 00:00:00,VARENNES,95,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,35,,,2011,41,9.1,702327X.2011.4.14,,,,0,702327X,14,3.4,14.6,,-2.3,,,35,,M,2011-04-14 00:00:00,VARENNES,94,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,35,,,2011,35,3.5,702327X.2011.4.15,,,,0,702327X,15,-0.8,18.8,,-5,,,24,,M,2011-04-15 00:00:00,VARENNES,66,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,13,,,2011,46,6.7,702327X.2011.4.16,,,,0,702327X,16,1.4,16.6,,-3.9,,,45,,M,2011-04-16 00:00:00,VARENNES,93,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,23,,,2011,67,8.4,702327X.2011.4.17,,,,0,702327X,17,4.5,13.5,,0.5,,,54,,M,2011-04-17 00:00:00,VARENNES,96,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,24,,,2011,54,4.5,702327X.2011.4.18,,,,0,702327X,18,2.7,15.3,,0.9,,,59,,M,2011-04-18 00:00:00,VARENNES,78,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,0,,,2011,0,9.4,702327X.2011.4.19,,,,0,702327X,19,4.2,13.8,,-1,,,28,,M,2011-04-19 00:00:00,VARENNES,84,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,6,,,2011,52,3.6,702327X.2011.4.20,,,,0,702327X,20,1.6,16.4,,-0.4,,,49,,M,2011-04-20 00:00:00,VARENNES,95,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,25,,,2011,54,6.5,702327X.2011.4.21,,,,0,702327X,21,3.4,14.6,,0.2,,,60,,M,2011-04-21 00:00:00,VARENNES,85,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,0,,,2011,0,12.2,702327X.2011.4.22,,,,0,702327X,22,5.2,12.8,,-1.9,,,22,,M,2011-04-22 00:00:00,VARENNES,83,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,17,,,2011,67,10.5,702327X.2011.4.23,,,,0,702327X,23,7.1,10.9,,3.7,,,42,,M,2011-04-23 00:00:00,VARENNES,87,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,0,,,2011,0,12.9,702327X.2011.4.24,,,,0,702327X,24,7.4,10.6,,1.8,,,46,,M,2011-04-24 00:00:00,VARENNES,87,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,0,,,2011,0,16.5,702327X.2011.4.25,,,,0,702327X,25,8.8,9.2,,1.1,,,31,,M,2011-04-25 00:00:00,VARENNES,90,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,4,,,2011,43,11.8,702327X.2011.4.26,,,,0,702327X,26,9,9,,6.2,,,79,,M,2011-04-26 00:00:00,VARENNES,94,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,3,,,2011,37,10.7,702327X.2011.4.27,,,,0,702327X,27,8,10,,5.3,,,87,,M,2011-04-27 00:00:00,VARENNES,97,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,23,,,2011,83,22,702327X.2011.4.28,,,,0,702327X,28,14.3,3.7,,6.5,,,53,,M,2011-04-28 00:00:00,VARENNES,97,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,24,,,2011,39,12.9,702327X.2011.4.29,,,,0,702327X,29,9.5,8.5,,6,,,52,,M,2011-04-29 00:00:00,VARENNES,80,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,0,,,2011,0,18.1,702327X.2011.4.30,,,,0,702327X,30,10.2,7.8,,2.3,,,26,,M,2011-04-30 00:00:00,VARENNES,84,QC,4,,M,M,
-73.37666666666667,45.723055555555554,,,,9,,,2011,35,19.8,702327X.2011.5.1,,,,0,702327X,1,10.6,7.4,,1.4,,,22,,M,2011-05-01 00:00:00,VARENNES,89,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,19,,,2011,52,16.8,702327X.2011.5.2,,,,0,702327X,2,11.3,6.7,,5.8,,,48,,M,2011-05-02 00:00:00,VARENNES,94,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,0,,,2011,0,11.3,702327X.2011.5.3,,,,0,702327X,3,9.2,8.8,,7,,,71,,M,2011-05-03 00:00:00,VARENNES,95,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,33,,,2011,33,7.7,702327X.2011.5.4,,,,0,702327X,4,6.5,11.5,,5.2,,,81,,M,2011-05-04 00:00:00,VARENNES,94,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,36,,,2011,39,6.1,702327X.2011.5.5,,,,0,702327X,5,5.1,12.9,,4,,,77,,M,2011-05-05 00:00:00,VARENNES,90,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,26,,,2011,48,15.2,702327X.2011.5.6,,,,0,702327X,6,9.5,8.5,,3.8,,,43,,M,2011-05-06 00:00:00,VARENNES,95,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,2,,,2011,33,15.1,702327X.2011.5.7,,,,0,702327X,7,10.3,7.7,,5.5,,,63,,M,2011-05-07 00:00:00,VARENNES,97,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,1,,,2011,39,16.1,702327X.2011.5.8,,,,0,702327X,8,10.9,7.1,,5.6,,,37,,M,2011-05-08 00:00:00,VARENNES,91,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,3,,,2011,41,18.3,702327X.2011.5.9,,,,0,702327X,9,12.1,5.9,,5.8,,,27,,M,2011-05-09 00:00:00,VARENNES,75,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,1,,,2011,46,17,702327X.2011.5.10,,,,0,702327X,10,11.1,6.9,,5.2,,,42,,M,2011-05-10 00:00:00,VARENNES,73,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,2,,,2011,43,18.6,702327X.2011.5.11,,,,0,702327X,11,11.7,6.3,,4.8,,,42,,M,2011-05-11 00:00:00,VARENNES,80,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,2,,,2011,37,19.7,702327X.2011.5.12,,,,0,702327X,12,12.1,5.9,,4.5,,,47,,M,2011-05-12 00:00:00,VARENNES,86,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,17,,,2011,39,25.9,702327X.2011.5.13,,,,0,702327X,13,16,2,,6.1,,,34,,M,2011-05-13 00:00:00,VARENNES,92,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,3,,,2011,32,11.7,702327X.2011.5.14,,,,0,702327X,14,10.6,7.4,,9.4,,,93,,M,2011-05-14 00:00:00,VARENNES,95,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,1,,,2011,43,12.8,702327X.2011.5.15,,,,0,702327X,15,9.8,8.2,,6.8,,,55,,M,2011-05-15 00:00:00,VARENNES,95,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,4,,,2011,50,6.9,702327X.2011.5.16,,,,0,702327X,16,6.1,11.9,,5.2,,,79,,M,2011-05-16 00:00:00,VARENNES,93,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,3,,,2011,43,11.2,702327X.2011.5.17,,,,0,702327X,17,8.1,9.9,,5,,,79,,M,2011-05-17 00:00:00,VARENNES,94,QC,5,,M,M,
-73.37666666666667,45.723055555555554,,,,4,,,2011,33,15.5,702327X.2011.5.18,,,,0,702327X,18,11.7,6.3,,7.8,,,82,,M,2011-05-18 00:00:00,VARENNES,94,QC,5,,M,M,
