oldidentifierfrompreviousfile,fid,src_agency,latitude,longitude,date,sizeha,cause,protzone,ecoz_name,wildlat1,coordinates,Unnamed: 0_y,coordinates1,climlatitude,climlongitude,firelat_radians,firelong_radians,climlat_radians,climlong_radians,distance_km
47903,328420,QC,52.5747,-76.5213,01-07-2019,408.5,L,nordique,Hudson Plain,"(50, 55]","52.5747,-76.5213",78,"53.6253,-77.7042",53.6253,-77.7042,0.917601618,-1.335548633,0.935938047,-1.356194133,140.9185739
47904,328421,QC,52.573,-76.5418,01-07-2019,34.5,L,nordique,Hudson Plain,"(50, 55]","52.573,-76.5418",45,"52.2264,-78.5225",52.2264,-78.5225,0.917571948,-1.335906425,0.911522636,-1.370476162,139.7059912
47905,328422,QC,50.9285,-78.0518,01-07-2019,141.9,L,nordique,Hudson Plain,"(50, 55]","50.9285,-78.0518",245,"51.4733,-78.7583",51.4733,-78.7583,0.888870008,-1.362260897,0.898378562,-1.374591648,78.00705409
47906,328423,QC,52.6186,-76.6953,28-06-2018,3096,L,Nordique,Hudson Plain,"(50, 55]","52.6186,-76.6953",78,"53.6253,-77.7042",53.6253,-77.7042,0.918367818,-1.338585506,0.935938047,-1.356194133,130.5403073
47907,328424,QC,51.1331,-77.98,28-06-2018,3006.4,L,Nordique,Hudson Plain,"(50, 55]","51.1331,-77.98",245,"51.4733,-78.7583",51.4733,-78.7583,0.892440952,-1.361007751,0.898378562,-1.374591648,65.97707449
47908,328425,QC,51.6069,-77.9611,28-06-2018,1234.5,L,Nordique,Hudson Plain,"(50, 55]","51.6069,-77.9611",245,"51.4733,-78.7583",51.4733,-78.7583,0.900710322,-1.360677883,0.898378562,-1.374591648,57.06414233
47909,328426,QC,51.5253,-78.1408,28-06-2018,1142.5,L,Nordique,Hudson Plain,"(50, 55]","51.5253,-78.1408",245,"51.4733,-78.7583",51.4733,-78.7583,0.899286133,-1.36381424,0.898378562,-1.374591648,43.10639098
47910,328427,QC,52.7987,-77.3304,05-07-2018,6.3,L,Nordique,Taiga Shield East,"(50, 55]","52.7987,-77.3304",78,"53.6253,-77.7042",53.6253,-77.7042,0.921511156,-1.349670092,0.935938047,-1.356194133,95.16435627
47911,328428,QC,51.9045,-76.6534,05-07-2018,81.1,L,Nordique,Hudson Plain,"(50, 55]","51.9045,-76.6534",45,"52.2264,-78.5225",52.2264,-78.5225,0.905904422,-1.337854213,0.911522636,-1.370476162,132.5998382
47912,328429,QC,52.6636,-77.5092,05-07-2018,0.5,L,Nordique,Hudson Plain,"(50, 55]","52.6636,-77.5092",45,"52.2264,-78.5225",52.2264,-78.5225,0.919153216,-1.352790741,0.911522636,-1.370476162,84.08818902
47913,328430,QC,52.0128,-76.5689,05-07-2018,25.5,L,Nordique,Hudson Plain,"(50, 55]","52.0128,-76.5689",45,"52.2264,-78.5225",52.2264,-78.5225,0.907794613,-1.33637941,0.911522636,-1.370476162,135.391473
47914,328431,QC,50.4564,-79.0594,08-07-2018,5608.9,L,Nordique,Hudson Plain,"(50, 55]","50.4564,-79.0594",245,"51.4733,-78.7583",51.4733,-78.7583,0.880630309,-1.379846835,0.898378562,-1.374591648,114.9508899
47915,328432,QC,51.771,-78.1346,11-07-2018,60.6,L,Nordique,Hudson Plain,"(50, 55]","51.771,-78.1346",245,"51.4733,-78.7583",51.4733,-78.7583,0.903574407,-1.36370603,0.898378562,-1.374591648,54.27667701
47916,328433,QC,52.0333,-77.0264,08-07-2018,1675,L,Nordique,Hudson Plain,"(50, 55]","52.0333,-77.0264",45,"52.2264,-78.5225",52.2264,-78.5225,0.908152406,-1.344364291,0.911522636,-1.370476162,104.288573
47917,328434,QC,50.1698,-79.517,15-07-2018,0.3,L,Intensive,Hudson Plain,"(50, 55]","50.1698,-79.517",115,"49.7578,-77.7931",49.7578,-77.7931,0.875628195,-1.387833461,0.868437439,-1.35774573,131.4568374
47918,328435,QC,51.9708,-76.24,30-07-2018,0.7,L,Nordique,Hudson Plain,"(50, 55]","51.9708,-76.24",45,"52.2264,-78.5225",52.2264,-78.5225,0.907061575,-1.330639022,0.911522636,-1.370476162,158.374716
47919,328436,QC,52.2725,-76.4034,05-06-2017,1698.7,L,Nordique,Hudson Plain,"(50, 55]","52.2725,-76.4034",45,"52.2264,-78.5225",52.2264,-78.5225,0.912327233,-1.33349089,0.911522636,-1.370476162,144.2557437
47920,328437,QC,51.3801,-78.4955,17-07-2017,0.5,H,Nordique,Hudson Plain,"(50, 55]","51.3801,-78.4955",245,"51.4733,-78.7583",51.4733,-78.7583,0.896751915,-1.370004923,0.898378562,-1.374591648,20.94825452
47921,328445,QC,51.3928,-78.5503,13-06-2018,0.6,H,Nordique,Hudson Plain,"(50, 55]","51.3928,-78.5503",245,"51.4733,-78.7583",51.4733,-78.7583,0.896973572,-1.370961363,0.898378562,-1.374591648,16.96082084
47922,328446,QC,51.5586,-79.4233,07-07-2018,1184.8,L,Nordique,Hudson Plain,"(50, 55]","51.5586,-79.4233",245,"51.4733,-78.7583",51.4733,-78.7583,0.899867328,-1.386198088,0.898378562,-1.374591648,46.95319393
47923,328447,QC,48.3641,-64.8216,05-06-2019,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.3641,-64.8216",39,"48.4194,-64.3169",48.4194,-64.3169,0.844112785,-1.131350346,0.845077952,-1.12254167,37.74576015
47924,328448,QC,48.681,-65.2223,08-06-2019,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.681,-65.2223",42,"48.7753,-64.4797",48.7753,-64.4797,0.849643733,-1.138343881,0.851289579,-1.125383066,55.43312007
47925,328449,QC,48.339,-64.7487,07-06-2019,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.339,-64.7487",39,"48.4194,-64.3169",48.4194,-64.3169,0.843674707,-1.130078001,0.845077952,-1.12254167,33.09932497
47926,328450,QC,48.8361,-64.5743,23-06-2019,0.2,H,Intensive,Atlantic Maritime,"(45, 50]","48.8361,-64.5743",55,"48.7769,-64.4781",48.7769,-64.4781,0.852350739,-1.127034147,0.851317504,-1.12535514,9.635795429
47927,328451,QC,49.1275,-65.2352,28-07-2019,0,L,Intensive,Atlantic Maritime,"(45, 50]","49.1275,-65.2352",38,"49.2508,-65.3247",49.2508,-65.3247,0.857436628,-1.138569028,0.859588619,-1.140131098,15.16539363
47928,328452,QC,48.1255,-66.1237,11-05-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.1255,-66.1237",27,"48.3086,-67.2525",48.3086,-67.2525,0.839948429,-1.154076279,0.843144127,-1.173777555,86.02080129
47929,328453,QC,49.1871,-65.7185,14-05-2018,0.3,H,Intensive,Atlantic Maritime,"(45, 50]","49.1871,-65.7185",38,"49.2508,-65.3247",49.2508,-65.3247,0.858476845,-1.147004204,0.859588619,-1.140131098,29.4468602
47930,328454,QC,49.0539,-66.6226,22-05-2018,0.1,H,Intensive,Atlantic Maritime,"(45, 50]","49.0539,-66.6226",225,"48.8833,-67.1167",48.8833,-67.1167,0.856152066,-1.162783726,0.853174534,-1.171407398,40.72625664
47931,328455,QC,48.1624,-67.1323,26-06-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.1624,-67.1323",27,"48.3086,-67.2525",48.3086,-67.2525,0.840592456,-1.171679669,0.843144127,-1.173777555,18.52302408
47932,328456,QC,48.4779,-67.1585,07-07-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.4779,-67.1585",34,"48.3667,-67.2333",48.3667,-67.2333,0.846098969,-1.172136946,0.844158163,-1.173442452,13.53244583
47933,328457,QC,48.3289,-66.7659,12-07-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.3289,-66.7659",34,"48.3667,-67.2333",48.3667,-67.2333,0.843498429,-1.165284783,0.844158163,-1.173442452,34.77419445
47934,328458,QC,48.9803,-66.5659,09-09-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.9803,-66.5659",225,"48.8833,-67.1167",48.8833,-67.1167,0.854867504,-1.161794125,0.853174534,-1.171407398,41.63041659
47935,328459,QC,48.6908,-64.3976,14-09-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.6908,-64.3976",42,"48.7753,-64.4797",48.7753,-64.4797,0.849814775,-1.12395015,0.851289579,-1.125383066,11.15273759
47936,328460,QC,48.4442,-64.3694,23-10-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.4442,-64.3694",39,"48.4194,-64.3169",48.4194,-64.3169,0.845510793,-1.123457968,0.845077952,-1.12254167,4.751778584
47937,328461,QC,48.9397,-66.8288,08-10-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.9397,-66.8288",225,"48.8833,-67.1167",48.8833,-67.1167,0.8541589,-1.166382595,0.853174534,-1.171407398,21.94070676
47938,328462,QC,48.8362,-64.6824,25-10-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.8362,-64.6824",42,"48.7753,-64.4797",48.7753,-64.4797,0.852352484,-1.128920848,0.851289579,-1.125383066,16.30600433
47939,328463,QC,48.3538,-64.6636,13-05-2017,0.2,H,Intensive,Atlantic Maritime,"(45, 50]","48.3538,-64.6636",39,"48.4194,-64.3169",48.4194,-64.3169,0.843933016,-1.128592726,0.845077952,-1.12254167,26.60407407
47940,328464,QC,48.5462,-66.9122,01-06-2017,0,L,Intensive,Atlantic Maritime,"(45, 50]","48.5462,-66.9122",34,"48.3667,-67.2333",48.3667,-67.2333,0.847291029,-1.1678382,0.844158163,-1.173442452,30.94943538
47941,328465,QC,48.9455,-66.6597,18-07-2017,0.1,H,Intensive,Atlantic Maritime,"(45, 50]","48.9455,-66.6597",225,"48.8833,-67.1167",48.8833,-67.1167,0.854260129,-1.163431243,0.853174534,-1.171407398,34.08281536
47942,328466,QC,48.9455,-66.6595,21-07-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.9455,-66.6595",225,"48.8833,-67.1167",48.8833,-67.1167,0.854260129,-1.163427753,0.853174534,-1.171407398,34.09711789
47943,328467,QC,48.6356,-64.8333,26-07-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.6356,-64.8333",42,"48.7753,-64.4797",48.7753,-64.4797,0.848851354,-1.13155455,0.851289579,-1.125383066,30.22290515
47944,328468,QC,48.5136,-64.8197,26-07-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.5136,-64.8197",42,"48.7753,-64.4797",48.7753,-64.4797,0.846722052,-1.131317185,0.851289579,-1.125383066,38.32659118
47945,328469,QC,48.9456,-66.66,30-07-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.9456,-66.66",225,"48.8833,-67.1167",48.8833,-67.1167,0.854261874,-1.163436479,0.853174534,-1.171407398,34.06358612
47946,328470,QC,48.1021,-67.4503,01-08-2017,0.1,L,Intensive,Atlantic Maritime,"(45, 50]","48.1021,-67.4503",109,"48.2833,-67.5667",48.2833,-67.5667,0.839540022,-1.177229816,0.842702559,-1.17926138,21.90446712
47947,328471,QC,49.1447,-64.896,01-08-2017,0.2,L,Intensive,Atlantic Maritime,"(45, 50]","49.1447,-64.896",38,"49.2508,-65.3247",49.2508,-65.3247,0.857736825,-1.132648871,0.859588619,-1.140131098,33.28786733
47948,328472,QC,48.0979,-67.1951,15-08-2017,0.1,L,Intensive,Atlantic Maritime,"(45, 50]","48.0979,-67.1951",27,"48.3086,-67.2525",48.3086,-67.2525,0.839466718,-1.172775736,0.843144127,-1.173777555,23.79687799
47949,328512,QC,48.5952,-68.1731,08-06-2019,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.5952,-68.1731",118,"48.6089,-68.2075",48.6089,-68.2075,0.848146241,-1.189845056,0.848385351,-1.19044545,2.950933207
47950,328513,QC,48.2427,-68.0981,04-07-2019,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.2427,-68.0981",161,"48.45,-68.5167",48.45,-68.5167,0.841993955,-1.188536059,0.845612023,-1.195842008,38.55495201
47951,328514,QC,47.5843,-69.7774,26-07-2019,0.1,H,Intensive,Atlantic Maritime,"(45, 50]","47.5843,-69.7774",94,"47.3558,-70.0319",47.3558,-70.0319,0.830502707,-1.217845373,0.82651463,-1.222287236,31.78418159
47952,328515,QC,48.0991,-69.0798,04-08-2019,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.0991,-69.0798",72,"48.0689,-69.5556",48.0689,-69.5556,0.839487662,-1.205669957,0.838960573,-1.213974233,35.48053235
47953,328516,QC,48.526,-67.9295,07-08-2019,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.526,-67.9295",118,"48.6089,-68.2075",48.6089,-68.2075,0.846938473,-1.185593434,0.848385351,-1.19044545,22.42271832
47954,328517,QC,48.589,-67.75,25-08-2019,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.589,-67.75",3,"48.4719,-67.4347",48.4719,-67.4347,0.84803803,-1.182460568,0.84599425,-1.176957545,26.60259976
47955,328518,QC,48.4308,-68.2277,22-10-2019,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.4308,-68.2277",118,"48.6089,-68.2075",48.6089,-68.2075,0.845276919,-1.190798006,0.848385351,-1.19044545,19.84715221
47956,328519,QC,47.6828,-68.6934,10-05-2018,1.9,H,Intensive,Atlantic Maritime,"(45, 50]","47.6828,-68.6934",72,"48.0689,-69.5556",48.0689,-69.5556,0.832221857,-1.198926004,0.838960573,-1.213974233,77.27055289
47957,328520,QC,48.4759,-68.3082,12-05-2018,0.1,H,Intensive,Atlantic Maritime,"(45, 50]","48.4759,-68.3082",161,"48.45,-68.5167",48.45,-68.5167,0.846064063,-1.192202996,0.845612023,-1.195842008,15.63110435
47958,328521,QC,47.4534,-69.1607,13-05-2018,0.5,H,Intensive,Atlantic Maritime,"(45, 50]","47.4534,-69.1607",94,"47.3558,-70.0319",47.3558,-70.0319,0.828218071,-1.207081928,0.82651463,-1.222287236,66.41531149
47959,328522,QC,47.4845,-69.0451,19-05-2018,2.4,H,Intensive,Atlantic Maritime,"(45, 50]","47.4845,-69.0451",72,"48.0689,-69.5556",48.0689,-69.5556,0.828760869,-1.205064327,0.838960573,-1.213974233,75.30423855
47960,328523,QC,47.7314,-68.809,21-05-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","47.7314,-68.809",72,"48.0689,-69.5556",48.0689,-69.5556,0.833070087,-1.200943605,0.838960573,-1.213974233,67.08499549
47961,328524,QC,47.7961,-68.6358,12-06-2018,0.1,H,Intensive,Atlantic Maritime,"(45, 50]","47.7961,-68.6358",59,"48.4156,-68.8928",48.4156,-68.8928,0.834199315,-1.197920695,0.845011629,-1.202406191,71.43452456
47962,328525,QC,47.7433,-69.4344,12-06-2018,1.5,H,Intensive,Atlantic Maritime,"(45, 50]","47.7433,-69.4344",72,"48.0689,-69.5556",48.0689,-69.5556,0.833277781,-1.211858894,0.838960573,-1.213974233,37.29174194
47963,328526,QC,48.6621,-67.7812,12-06-2018,0.1,H,Intensive,Atlantic Maritime,"(45, 50]","48.6621,-67.7812",118,"48.6089,-68.2075",48.6089,-68.2075,0.849313866,-1.183005111,0.848385351,-1.19044545,31.85932739
47964,328527,QC,48.5497,-67.5163,18-06-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.5497,-67.5163",3,"48.4719,-67.4347",48.4719,-67.4347,0.847352116,-1.178381734,0.84599425,-1.176957545,10.52768069
47965,328528,QC,48.5522,-67.6041,28-06-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.5522,-67.6041",3,"48.4719,-67.4347",48.4719,-67.4347,0.847395749,-1.179914133,0.84599425,-1.176957545,15.33432411
47966,328529,QC,48.4995,-68.0661,02-07-2018,0.1,H,Intensive,Atlantic Maritime,"(45, 50]","48.4995,-68.0661",118,"48.6089,-68.2075",48.6089,-68.2075,0.846475961,-1.187977554,0.848385351,-1.19044545,15.99901751
47967,328530,QC,48.5486,-67.8745,02-07-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.5486,-67.8745",118,"48.6089,-68.2075",48.6089,-68.2075,0.847332917,-1.184633503,0.848385351,-1.19044545,25.38236187
47968,328531,QC,48.2303,-68.4568,15-07-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.2303,-68.4568",161,"48.45,-68.5167",48.45,-68.5167,0.841777534,-1.194796555,0.845612023,-1.195842008,24.81187398
47969,328532,QC,48.4262,-68.1989,28-07-2018,0,L,Intensive,Atlantic Maritime,"(45, 50]","48.4262,-68.1989",118,"48.6089,-68.2075",48.6089,-68.2075,0.845196634,-1.190295351,0.848385351,-1.19044545,20.3124247
47970,328533,QC,48.2738,-68.5057,12-08-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.2738,-68.5057",161,"48.45,-68.5167",48.45,-68.5167,0.842536752,-1.195650021,0.845612023,-1.195842008,19.59708193
47971,328534,QC,48.8617,-67.1832,22-08-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.8617,-67.1832",225,"48.8833,-67.1167",48.8833,-67.1167,0.852797543,-1.172568042,0.853174534,-1.171407398,5.420928265
47972,328535,QC,48.2689,-68.4946,03-10-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.2689,-68.4946",161,"48.45,-68.5167",48.45,-68.5167,0.842451231,-1.19545629,0.845612023,-1.195842008,20.19080702
47973,328536,QC,48.5441,-67.5167,12-06-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.5441,-67.5167",3,"48.4719,-67.4347",48.4719,-67.4347,0.847254377,-1.178388715,0.84599425,-1.176957545,10.04080509
47974,328537,QC,48.4243,-67.9948,14-07-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.4243,-67.9948",118,"48.6089,-68.2075",48.6089,-68.2075,0.845163473,-1.186733134,0.848385351,-1.19044545,25.8059065
47975,328538,QC,48.2512,-68.53,22-07-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.2512,-68.53",161,"48.45,-68.5167",48.45,-68.5167,0.842142308,-1.196074136,0.845612023,-1.195842008,22.11349659
47976,328539,QC,48.9115,-67.1321,30-07-2017,0.1,H,Intensive,Atlantic Maritime,"(45, 50]","48.9115,-67.1321",225,"48.8833,-67.1167",48.8833,-67.1167,0.853666717,-1.171676179,0.853174534,-1.171407398,3.329560423
47977,328540,QC,47.77,-68.932,02-08-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","47.77,-68.932",72,"48.0689,-69.5556",48.0689,-69.5556,0.833743784,-1.20309036,0.838960573,-1.213974233,57.09671954
47978,328541,QC,48.3678,-68.2921,30-10-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.3678,-68.2921",161,"48.45,-68.5167",48.45,-68.5167,0.844177362,-1.191921998,0.845612023,-1.195842008,18.91907964
47979,328542,QC,48.2866,-68.6134,31-10-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.2866,-68.6134",161,"48.45,-68.5167",48.45,-68.5167,0.842760155,-1.197529741,0.845612023,-1.195842008,19.51077809
47980,328543,QC,48.2831,-68.4274,01-11-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.2831,-68.4274",161,"48.45,-68.5167",48.45,-68.5167,0.842699068,-1.194283429,0.845612023,-1.195842008,19.68369277
47981,328544,QC,48.3361,-68.3036,10-11-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.3361,-68.3036",161,"48.45,-68.5167",48.45,-68.5167,0.843624093,-1.192122711,0.845612023,-1.195842008,20.1856506
47982,328572,QC,48.9677,-64.7355,29-07-2019,4.6,H,Intensive,Atlantic Maritime,"(45, 50]","48.9677,-64.7355",55,"48.7769,-64.4781",48.7769,-64.4781,0.854647592,-1.129847618,0.851317504,-1.12535514,28.34620589
47983,328573,QC,48.7306,-64.9126,28-07-2019,0.3,L,Intensive,Atlantic Maritime,"(45, 50]","48.7306,-64.9126",42,"48.7753,-64.4797",48.7753,-64.4797,0.850509416,-1.132938596,0.851289579,-1.125383066,32.10324096
47984,328574,QC,48.822,-64.8112,13-05-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.822,-64.8112",42,"48.7753,-64.4797",48.7753,-64.4797,0.852104647,-1.131168832,0.851289579,-1.125383066,24.81414506
47985,328575,QC,48.8331,-64.901,16-06-2018,13.4,H,Intensive,Atlantic Maritime,"(45, 50]","48.8331,-64.901",42,"48.7753,-64.4797",48.7753,-64.4797,0.852298379,-1.132736138,0.851289579,-1.125383066,31.49710397
47986,328576,QC,48.82,-65.6,17-07-2018,2.4,H,Intensive,Atlantic Maritime,"(45, 50]","48.82,-65.6",38,"49.2508,-65.3247",49.2508,-65.3247,0.852069741,-1.144935989,0.859588619,-1.140131098,51.90417773
47987,328577,QC,48.7477,-64.8361,07-09-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.7477,-64.8361",42,"48.7753,-64.4797",48.7753,-64.4797,0.850807868,-1.131603419,0.851289579,-1.125383066,26.28692148
47988,328586,QC,48.4968,-67.4823,03-06-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.4968,-67.4823",3,"48.4719,-67.4347",48.4719,-67.4347,0.846428837,-1.177788322,0.84599425,-1.176957545,4.46640135
47989,328587,QC,48.5027,-67.4563,21-07-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.5027,-67.4563",3,"48.4719,-67.4347",48.4719,-67.4347,0.846531811,-1.177334536,0.84599425,-1.176957545,3.774318212
47990,328588,QC,48.4507,-67.6201,10-07-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.4507,-67.6201",3,"48.4719,-67.4347",48.4719,-67.4347,0.84562424,-1.180193386,0.84599425,-1.176957545,13.86373886
47991,328589,QC,48.1506,-67.5234,01-08-2017,0.9,L,Intensive,Atlantic Maritime,"(45, 50]","48.1506,-67.5234",109,"48.2833,-67.5667",48.2833,-67.5667,0.840386507,-1.178505652,0.842702559,-1.17926138,15.09080924
47992,328590,QC,48.4146,-67.1264,23-10-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.4146,-67.1264",34,"48.3667,-67.2333",48.3667,-67.2333,0.844994176,-1.171576695,0.844158163,-1.173442452,9.516312074
47993,328596,QC,48.0126,-66.7403,09-05-2019,0.4,H,Intensive,Atlantic Maritime,"(45, 50]","48.0126,-66.7403",27,"48.3086,-67.2525",48.3086,-67.2525,0.837977952,-1.164837979,0.843144127,-1.173777555,50.23373616
47994,328597,QC,48.0137,-66.7418,09-05-2019,0.1,H,Intensive,Atlantic Maritime,"(45, 50]","48.0137,-66.7418",27,"48.3086,-67.2525",48.3086,-67.2525,0.837997151,-1.164864159,0.843144127,-1.173777555,50.0693577
47995,328598,QC,48.0153,-66.7392,09-05-2019,0.1,H,Intensive,Atlantic Maritime,"(45, 50]","48.0153,-66.7392",27,"48.3086,-67.2525",48.3086,-67.2525,0.838025076,-1.16481878,0.843144127,-1.173777555,50.09892311
47996,328599,QC,48.0114,-66.7375,09-05-2019,0.1,H,Intensive,Atlantic Maritime,"(45, 50]","48.0114,-66.7375",27,"48.3086,-67.2525",48.3086,-67.2525,0.837957008,-1.16478911,0.843144127,-1.173777555,50.47826847
47997,328600,QC,48.0135,-66.7427,09-05-2019,0.3,H,Intensive,Atlantic Maritime,"(45, 50]","48.0135,-66.7427",27,"48.3086,-67.2525",48.3086,-67.2525,0.83799366,-1.164879867,0.843144127,-1.173777555,50.03355858
47998,328601,QC,48.0683,-65.4443,22-07-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.0683,-65.4443",39,"48.4194,-64.3169",48.4194,-64.3169,0.838950101,-1.142218512,0.845077952,-1.12254167,92.10396632
47999,328602,QC,48.1431,-65.3699,15-06-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.1431,-65.3699",39,"48.4194,-64.3169",48.4194,-64.3169,0.840255607,-1.140919987,0.845077952,-1.12254167,83.70404579
48000,328603,QC,48.0558,-66.5537,17-07-2017,0.1,H,Intensive,Atlantic Maritime,"(45, 50]","48.0558,-66.5537",27,"48.3086,-67.2525",48.3086,-67.2525,0.838731935,-1.161581194,0.843144127,-1.173777555,58.90677429
48001,328604,QC,48.0982,-65.4603,05-08-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.0982,-65.4603",39,"48.4194,-64.3169",48.4194,-64.3169,0.839471954,-1.142497764,0.845077952,-1.12254167,91.8134824
48002,328605,QC,48.0639,-66.5331,13-08-2017,0,H,Intensive,Atlantic Maritime,"(45, 50]","48.0639,-66.5331",27,"48.3086,-67.2525",48.3086,-67.2525,0.838873306,-1.161221657,0.843144127,-1.173777555,59.83463056
48003,328614,QC,47.3928,-68.8756,26-05-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","47.3928,-68.8756",94,"47.3558,-70.0319",47.3558,-70.0319,0.827160402,-1.202105994,0.82651463,-1.222287236,87.1131761
48004,328615,QC,47.5144,-68.5287,12-06-2018,0,H,Intensive,Atlantic Maritime,"(45, 50]","47.5144,-68.5287",72,"48.0689,-69.5556",48.0689,-69.5556,0.829282722,-1.196051447,0.838960573,-1.213974233,98.35727777
48005,328620,QC,45.578,-72.5366,22-04-2019,0,H,Intensive,MixedWood Plain,"(45, 50]","45.578,-72.5366",215,"45.7333,-72.6167",45.7333,-72.6167,0.795486166,-1.266002498,0.798196663,-1.267400507,18.3449601
48006,328621,QC,46.0138,-71.975,01-05-2019,0,H,Intensive,MixedWood Plain,"(45, 50]","46.0138,-71.975",4,"46.0167,-71.95",46.0167,-71.95,0.803092311,-1.256200729,0.803142926,-1.255764397,1.956047138
48007,328622,QC,46.5266,-72.7647,27-05-2019,0,H,Intensive,MixedWood Plain,"(45, 50]","46.5266,-72.7647",231,"46.3833,-72.6167",46.3833,-72.6167,0.81204236,-1.269983594,0.809541303,-1.267400507,19.54377048
48008,328623,QC,46.4792,-72.8431,09-06-2019,0.1,H,Intensive,MixedWood Plain,"(45, 50]","46.4792,-72.8431",230,"46.3517,-72.6806",46.3517,-72.6806,0.811215074,-1.271351932,0.808989779,-1.268515772,18.86093612
48009,328624,QC,46.7081,-72.1644,13-06-2019,0,H,Intensive,MixedWood Plain,"(45, 50]","46.7081,-72.1644",183,"46.7167,-72.0833",46.7167,-72.0833,0.815210132,-1.259506383,0.815360231,-1.258090921,6.252808344
48010,328625,QC,45.279,-72.9608,20-06-2019,0,H,Intensive,MixedWood Plain,"(45, 50]","45.279,-72.9608",47,"45.3,-72.9",45.3,-72.9,0.790267632,-1.273406185,0.790634151,-1.272345025,5.295251035
48011,328626,QC,46.421,-72.8245,24-06-2019,0.1,H,Intensive,MixedWood Plain,"(45, 50]","46.421,-72.8245",230,"46.3517,-72.6806",46.3517,-72.6806,0.810199292,-1.271027301,0.808989779,-1.268515772,13.45267759
48012,328627,QC,46.4447,-72.7626,23-06-2019,0.1,H,Intensive,MixedWood Plain,"(45, 50]","46.4447,-72.7626",230,"46.3517,-72.6806",46.3517,-72.6806,0.810612935,-1.269946942,0.808989779,-1.268515772,12.09528062
48013,328628,QC,46.4123,-72.5997,30-07-2019,0,H,Intensive,MixedWood Plain,"(45, 50]","46.4123,-72.5997",231,"46.3833,-72.6167",46.3833,-72.6167,0.810047448,-1.267103801,0.809541303,-1.267400507,3.476018202
48014,328629,QC,47.5362,-69.8076,06-08-2019,0.1,H,Intensive,Atlantic Maritime,"(45, 50]","47.5362,-69.8076",94,"47.3558,-70.0319",47.3558,-70.0319,0.829663204,-1.218372463,0.82651463,-1.222287236,26.19210162
48015,328630,QC,46.4533,-72.7314,07-08-2019,0,H,Intensive,MixedWood Plain,"(45, 50]","46.4533,-72.7314",231,"46.3833,-72.6167",46.3833,-72.6167,0.810763033,-1.2694024,0.809541303,-1.267400507,11.73541582
