oldidentifierfrompreviousfile,fid,src_agency,latitude,longitude,date,sizeha,cause,protzone,ecoz_name,wildlat1,coordinates,Unnamed: 0_y,coordinates1,climlatitude,climlongitude,firelat_radians,firelong_radians,climlat_radians,climlong_radians,distance_km
48489,329729,QC,48.2621,-78.9754,25-07-2017,0,H,Intensive,Boreal Shield East,"(45, 50]","48.2621,-78.9754",164,"48.2458,-79.0342",48.2458,-79.0342,0.842332549,-1.378380758,0.84204806,-1.379407012,4.712643506
48490,329730,QC,47.7066,-78.5685,30-07-2017,0.8,L,Intensive,Boreal Shield East,"(45, 50]","47.7066,-78.5685",170,"48.2061,-78.8356",48.2061,-78.8356,0.832637245,-1.371279013,0.841355165,-1.375940788,58.95874554
48491,329731,QC,47.6605,-77.7843,30-07-2017,0.2,H,Intensive,Boreal Shield East,"(45, 50]","47.6605,-77.7843",229,"48.0533,-77.7828",48.0533,-77.7828,0.831832648,-1.357592141,0.838688301,-1.357565961,43.65008786
48492,329732,QC,48.1659,-78.9267,01-08-2017,0,L,Intensive,Boreal Shield East,"(45, 50]","48.1659,-78.9267",170,"48.2061,-78.8356",48.2061,-78.8356,0.840653542,-1.377530783,0.841355165,-1.375940788,8.093927235
48493,329733,QC,48.6349,-78.5959,03-08-2017,0,H,Intensive,Boreal Shield East,"(45, 50]","48.6349,-78.5959",130,"48.4167,-78.7333",48.4167,-78.7333,0.848839136,-1.371757234,0.845030828,-1.374155316,26.27157529
48494,329734,QC,48.7897,-78.7764,30-07-2017,0.3,L,Intensive,Boreal Shield East,"(45, 50]","48.7897,-78.7764",112,"48.8,-78.2833",48.8,-78.2833,0.851540906,-1.374907553,0.851720675,-1.366301334,36.11519615
48495,329735,QC,48.1839,-78.3386,03-08-2017,0,H,Intensive,Boreal Shield East,"(45, 50]","48.1839,-78.3386",170,"48.2061,-78.8356",48.2061,-78.8356,0.840967701,-1.367266501,0.841355165,-1.375940788,36.89813265
48496,329736,QC,47.8662,-78.1998,09-08-2017,0,H,Intensive,Boreal Shield East,"(45, 50]","47.8662,-78.1998",229,"48.0533,-77.7828",48.0533,-77.7828,0.83542279,-1.364843984,0.838688301,-1.357565961,37.35254046
48497,329737,QC,48.6868,-79.3088,11-09-2017,0.3,H,Intensive,Boreal Shield East,"(45, 50]","48.6868,-79.3088",130,"48.4167,-78.7333",48.4167,-78.7333,0.849744962,-1.384199686,0.845030828,-1.374155316,51.89360625
48498,329738,QC,48.7735,-78.5673,13-09-2017,0,H,Intensive,Boreal Shield East,"(45, 50]","48.7735,-78.5673",112,"48.8,-78.2833",48.8,-78.2833,0.851258163,-1.371258069,0.851720675,-1.366301334,21.0009
48499,329739,QC,48.2597,-78.0328,17-09-2017,0,H,Intensive,Boreal Shield East,"(45, 50]","48.2597,-78.0328",229,"48.0533,-77.7828",48.0533,-77.7828,0.842290661,-1.361929285,0.838688301,-1.357565961,29.48787086
48500,329740,QC,49.0608,-78.1263,23-09-2017,0.1,H,Intensive,Boreal Shield East,"(45, 50]","49.0608,-78.1263",112,"48.8,-78.2833",48.8,-78.2833,0.856272494,-1.363561167,0.851720675,-1.366301334,31.16568391
48501,330074,QC,49.1666,-69.1259,05-06-2019,0,H,Intensive,Boreal Shield East,"(45, 50]","49.1666,-69.1259",108,"49.1167,-68.3833",49.1167,-68.3833,0.858119052,-1.206474553,0.857248133,-1.193513738,54.26866276
48502,330075,QC,49.194,-68.2424,24-06-2019,0.2,H,Intensive,Boreal Shield East,"(45, 50]","49.194,-68.2424",108,"49.1167,-68.3833",49.1167,-68.3833,0.858597272,-1.191054569,0.857248133,-1.193513738,13.36596016
48503,330076,QC,48.9458,-68.6602,07-07-2019,0,H,Intensive,Boreal Shield East,"(45, 50]","48.9458,-68.6602",108,"49.1167,-68.3833",49.1167,-68.3833,0.854265365,-1.198346555,0.857248133,-1.193513738,27.70708015
48504,330077,QC,49.1926,-69.4599,08-07-2019,0,L,Intensive,Boreal Shield East,"(45, 50]","49.1926,-69.4599",108,"49.1167,-68.3833",49.1167,-68.3833,0.858572838,-1.212303953,0.857248133,-1.193513738,78.6977276
48505,330078,QC,49.2471,-69.4751,08-07-2019,0,L,Intensive,Boreal Shield East,"(45, 50]","49.2471,-69.4751",108,"49.1167,-68.3833",49.1167,-68.3833,0.859524042,-1.212569243,0.857248133,-1.193513738,80.61841079
48506,330079,QC,49.6099,-69.3145,08-07-2019,0.2,L,Intensive,Boreal Shield East,"(45, 50]","49.6099,-69.3145",108,"49.1167,-68.3833",49.1167,-68.3833,0.865856097,-1.209766244,0.857248133,-1.193513738,86.86374796
48507,330080,QC,49.7418,-68.837,08-07-2019,0.2,L,Intensive,Boreal Shield East,"(45, 50]","49.7418,-68.837",108,"49.1167,-68.3833",49.1167,-68.3833,0.868158186,-1.201432297,0.857248133,-1.193513738,76.81452796
48508,330081,QC,49.7142,-69.5227,08-07-2019,0,L,Intensive,Boreal Shield East,"(45, 50]","49.7142,-69.5227",108,"49.1167,-68.3833",49.1167,-68.3833,0.867676475,-1.21340002,0.857248133,-1.193513738,105.798761
48509,330082,QC,49.3605,-68.6607,27-07-2019,0,L,Intensive,Boreal Shield East,"(45, 50]","49.3605,-68.6607",108,"49.1167,-68.3833",49.1167,-68.3833,0.861503245,-1.198355282,0.857248133,-1.193513738,33.75015389
48510,330083,QC,49.7585,-68.041,27-07-2019,0.7,L,Intensive,Boreal Shield East,"(45, 50]","49.7585,-68.041",53,"49.3167,-67.6167",49.3167,-67.6167,0.868449656,-1.187539476,0.860738791,-1.180134044,57.84936849
48511,330084,QC,49.5817,-68.3956,27-07-2019,0.1,L,Intensive,Boreal Shield East,"(45, 50]","49.5817,-68.3956",108,"49.1167,-68.3833",49.1167,-68.3833,0.865363914,-1.193728414,0.857248133,-1.193513738,51.68084879
48512,330085,QC,49.434,-68.88,03-08-2019,0,L,Intensive,Boreal Shield East,"(45, 50]","49.434,-68.88",108,"49.1167,-68.3833",49.1167,-68.3833,0.862786062,-1.202182789,0.857248133,-1.193513738,50.39887862
48513,330086,QC,49.1057,-68.3669,24-05-2018,12,H,Intensive,Boreal Shield East,"(45, 50]","49.1057,-68.3669",108,"49.1167,-68.3833",49.1167,-68.3833,0.857056146,-1.193227504,0.857248133,-1.193513738,1.708030309
48514,330087,QC,49.6978,-68.2962,25-05-2018,0,H,Intensive,Boreal Shield East,"(45, 50]","49.6978,-68.2962",53,"49.3167,-67.6167",49.3167,-67.6167,0.867390241,-1.191993557,0.860738791,-1.180134044,64.78891077
48515,330088,QC,49.6753,-68.2951,31-05-2018,19,H,Intensive,Boreal Shield East,"(45, 50]","49.6753,-68.2951",108,"49.1167,-68.3833",49.1167,-68.3833,0.866997542,-1.191974358,0.857248133,-1.193513738,62.4013699
48516,330089,QC,49.3849,-68.0392,01-06-2018,23.3,L,Intensive,Boreal Shield East,"(45, 50]","49.3849,-68.0392",53,"49.3167,-67.6167",49.3167,-67.6167,0.861929106,-1.18750806,0.860738791,-1.180134044,31.50963467
48517,330090,QC,49.21,-68.3326,02-06-2018,0,H,Intensive,Boreal Shield East,"(45, 50]","49.21,-68.3326",108,"49.1167,-68.3833",49.1167,-68.3833,0.858876525,-1.192628856,0.857248133,-1.193513738,11.00307432
48518,330091,QC,49.2172,-68.193,11-06-2018,0.3,H,Intensive,Boreal Shield East,"(45, 50]","49.2172,-68.193",108,"49.1167,-68.3833",49.1167,-68.3833,0.859002189,-1.190192377,0.857248133,-1.193513738,17.77404489
48519,330092,QC,49.2594,-69.5288,12-06-2018,0.1,H,Intensive,Boreal Shield East,"(45, 50]","49.2594,-69.5288",108,"49.1167,-68.3833",49.1167,-68.3833,0.859738718,-1.213506485,0.857248133,-1.193513738,84.69338466
48520,330093,QC,49.3063,-69.6453,16-06-2018,1.4,H,Intensive,Boreal Shield East,"(45, 50]","49.3063,-69.6453",108,"49.1167,-68.3833",49.1167,-68.3833,0.860557277,-1.215539794,0.857248133,-1.193513738,94.00461691
48521,330094,QC,49.2291,-69.8396,26-06-2018,12985,H,Intensive,Boreal Shield East,"(45, 50]","49.2291,-69.8396",135,"48.8942,-71.0317",48.8942,-71.0317,0.859209883,-1.218930968,0.853364775,-1.239737038,94.44225131
48522,330095,QC,48.7518,-69.1284,02-07-2018,0.5,L,Intensive,Boreal Shield East,"(45, 50]","48.7518,-69.1284",59,"48.4156,-68.8928",48.4156,-68.8928,0.850879426,-1.206518187,0.845011629,-1.202406191,41.17946031
48523,330096,QC,49.5458,-69.702,02-07-2018,0.2,L,Intensive,Boreal Shield East,"(45, 50]","49.5458,-69.702",108,"49.1167,-68.3833",49.1167,-68.3833,0.864737341,-1.216529395,0.857248133,-1.193513738,106.7390691
48524,330097,QC,48.7976,-69.2105,02-07-2018,0,L,Intensive,Boreal Shield East,"(45, 50]","48.7976,-69.2105",59,"48.4156,-68.8928",48.4156,-68.8928,0.851678787,-1.207951102,0.845011629,-1.202406191,48.44508263
48525,330098,QC,49.8811,-69.698,02-07-2018,0.1,L,Intensive,Boreal Shield East,"(45, 50]","49.8811,-69.698",117,"50.6564,-70.5319",50.6564,-70.5319,0.87058943,-1.216459582,0.884120967,-1.231013883,104.5505154
