,FID,SRC_AGENCY,LATITUDE,LONGITUDE,REP_DATE,SIZE_HA,CAUSE,PROTZONE,ECOZ_NAME,FireLocation,WeatherLocation,x,y,MAX_REL_HUMIDITY,LOCAL_DAY,ID,MEAN_TEMPERATURE,MIN_REL_HUMIDITY,PROVINCE_CODE,LOCAL_MONTH,TOTAL_RAIN,STATION_NAME,SPEED_MAX_GUST,TOTAL_PRECIPITATION,CLIMATE_IDENTIFIER,MAX_TEMPERATURE,LOCAL_YEAR,TOTAL_SNOW,MIN_TEMPERATURE,SNOW_ON_GROUND,Class
205,369323,QC,46.2547,-75.81,2012-06-12,0.0,L,intensive,Boreal Shield East,"(46.2547, -75.81)","46.27472222222222,-75.99194444444444",-75.99194444444444,46.27472222222222,91.1,12.0,7034482.2012.6.12,1.75,45.05333333333333,QC,6.0,0.0,MANIWAKI AIRPORT,35.0,16.0,7034482,18.4,2012.0,0.0,15.5,0.0,0
206,370554,QC,48.025,-66.7249,2020-04-17,0.0,L,intensive,Atlantic Maritime,"(48.025, -66.7249)","48.30863166666666,-67.252525",-67.252525,48.30863166666666,91.1,17.0,7051201.2020.4.17,-5.2,36.8,QC,4.0,0.0,CAUSAPSCAL AIRPORT,37.0,0.0,7051201,1.8,2020.0,0.0,-4.1,36.0,0
207,370568,QC,48.0935,-66.5471,2020-04-17,0.0,L,intensive,Atlantic Maritime,"(48.0935, -66.5471)","48.30863166666666,-67.252525",-67.252525,48.30863166666666,91.1,17.0,7051201.2020.4.17,-5.2,36.8,QC,4.0,0.0,CAUSAPSCAL AIRPORT,37.0,0.0,7051201,1.8,2020.0,0.0,-4.1,36.0,0
208,370654,QC,49.6242,-77.5449,2020-05-10,0.0,L,intensive,Boreal Shield East,"(49.6242, -77.5449)","49.757783333333336,-77.79307222222222",-77.79307222222222,49.757783333333336,91.1,10.0,7094637.2020.5.10,5.11,32.333333333333336,QC,5.0,0.0,MATAGAMI,60.0,2.3,7094637,-1.2,2020.0,0.0,-9.4,0.0,0
209,370655,QC,49.9623,-76.9363,2020-05-10,0.0,L,intensive,Boreal Shield East,"(49.9623, -76.9363)","49.757783333333336,-77.79307222222222",-77.79307222222222,49.757783333333336,91.1,10.0,7094637.2020.5.10,5.11,32.333333333333336,QC,5.0,0.0,MATAGAMI,60.0,2.3,7094637,-1.2,2020.0,0.0,-9.4,0.0,0
210,370659,QC,49.228,-72.6102,2020-05-10,0.0,L,intensive,Boreal Shield East,"(49.228, -72.6102)","48.84166666666667,-72.54694444444445",-72.54694444444445,48.84166666666667,91.1,10.0,7065639.2020.5.10,1.75,57.53333333333333,QC,5.0,0.0,NORMANDIN,61.0,0.0,7065639,6.1,2020.0,0.0,-4.1,0.0,0
211,370666,QC,49.3206,-72.28629999999998,2020-05-10,0.0,L,intensive,Boreal Shield East,"(49.3206, -72.28629999999998)","48.84166666666667,-72.54694444444445",-72.54694444444445,48.84166666666667,91.1,10.0,7065639.2020.5.10,1.75,57.53333333333333,QC,5.0,0.0,NORMANDIN,61.0,0.0,7065639,6.1,2020.0,0.0,-4.1,0.0,0
212,370685,QC,49.2961,-69.67,2020-05-12,0.0,L,intensive,Boreal Shield East,"(49.2961, -69.67)","48.25805555555556,-69.52277777777778",-69.52277777777778,48.25805555555556,91.1,12.0,7042845.2020.5.12,0.1,59.8,QC,5.0,0.0,GRANDES-BERGERONNES,44.0,0.0,7042845,4.4,2020.0,0.0,-4.1,0.0,0
213,370689,QC,49.5639,-69.6667,2020-05-12,0.0,L,intensive,Boreal Shield East,"(49.5639, -69.6667)","48.25805555555556,-69.52277777777778",-69.52277777777778,48.25805555555556,91.1,12.0,7042845.2020.5.12,0.1,59.8,QC,5.0,0.0,GRANDES-BERGERONNES,44.0,0.0,7042845,4.4,2020.0,0.0,-4.1,0.0,0
214,370690,QC,49.1612,-69.4857,2020-05-12,0.0,L,intensive,Boreal Shield East,"(49.1612, -69.4857)","48.25805555555556,-69.52277777777778",-69.52277777777778,48.25805555555556,91.1,12.0,7042845.2020.5.12,0.1,59.8,QC,5.0,0.0,GRANDES-BERGERONNES,44.0,0.0,7042845,4.4,2020.0,0.0,-4.1,0.0,0
