,FID,SRC_AGENCY,LATITUDE,LONGITUDE,REP_DATE,SIZE_HA,CAUSE,PROTZONE,ECOZ_NAME,FireLocation,WeatherLocation,x,y,MAX_REL_HUMIDITY,LOCAL_DAY,ID,MEAN_TEMPERATURE,MIN_REL_HUMIDITY,PROVINCE_CODE,LOCAL_MONTH,TOTAL_RAIN,STATION_NAME,SPEED_MAX_GUST,TOTAL_PRECIPITATION,CLIMATE_IDENTIFIER,MAX_TEMPERATURE,LOCAL_YEAR,TOTAL_SNOW,MIN_TEMPERATURE,SNOW_ON_GROUND,Class
0,328420,QC,52.5747,-76.52129999999998,2019-07-01,408.5,L,nordique,Hudson Plain,"(52.5747, -76.52129999999998)","53.625277777777775,-77.70416666666667",-77.70416666666667,53.625277777777775,90.66666666666667,1.0,7093716.2019.7.1,9.093333333333334,44.0,QC,7.0,0.0,LA GRANDE RIVIERE A,39.0,26.1,7093716,27.5,2019.0,0.0,-2.2,0.0,1.0
1,328421,QC,52.573,-76.54179999999998,2019-07-01,34.5,L,nordique,Hudson Plain,"(52.573, -76.54179999999998)","53.625277777777775,-77.70416666666667",-77.70416666666667,53.625277777777775,90.66666666666667,1.0,7093716.2019.7.1,9.093333333333334,44.0,QC,7.0,0.0,LA GRANDE RIVIERE A,39.0,26.1,7093716,27.5,2019.0,0.0,-2.2,0.0,1.0
2,328451,QC,49.1275,-65.2352,2019-07-28,0.0,L,intensive,Atlantic Maritime,"(49.1275, -65.2352)","49.25083333333333,-65.32472222222222",-65.32472222222222,49.25083333333333,86.5,28.0,7051163.2019.7.28,13.366666666666667,44.0,QC,7.0,0.0,CAP-MADELEINE,46.0,26.1,7051163,27.5,2019.0,0.0,-3.1,0.0,1.0
3,328573,QC,48.7306,-64.9126,2019-07-28,0.3,L,intensive,Atlantic Maritime,"(48.7306, -64.9126)","48.77527777777778,-64.47972222222222",-64.47972222222222,48.77527777777778,90.66666666666667,28.0,7052601.2019.7.28,21.873333333333335,44.0,QC,7.0,0.0,GASPE A,46.0,26.1,7052601,27.5,2019.0,0.0,-2.2,0.0,1.0
4,328876,QC,53.0048,-77.4008,2019-07-01,25.5,L,nordique,Taiga Shield East,"(53.0048, -77.4008)","53.625277777777775,-77.70416666666667",-77.70416666666667,53.625277777777775,90.66666666666667,1.0,7093716.2019.7.1,9.093333333333334,44.0,QC,7.0,0.0,LA GRANDE RIVIERE A,39.0,26.1,7093716,27.5,2019.0,0.0,-2.2,0.0,1.0
5,328877,QC,53.251,-77.0446,2019-07-03,3.6,L,nordique,Taiga Shield East,"(53.251, -77.0446)","53.625277777777775,-77.70416666666667",-77.70416666666667,53.625277777777775,90.66666666666667,3.0,7093716.2019.7.3,9.093333333333334,44.0,QC,7.0,0.0,LA GRANDE RIVIERE A,45.0,26.1,7093716,27.5,2019.0,0.0,-2.2,0.0,1.0
6,329131,QC,51.5009,-63.1808,2019-07-21,153.2,L,nordique,Boreal Shield East,"(51.5009, -63.1808)","51.86722222222223,-63.28361111111112",,,90.66666666666667,,,9.093333333333334,44.0,,,0.0,,42.666666666666664,26.1,,27.5,,0.0,-2.2,0.0,1.0
7,329138,QC,51.5594,-63.5589,2018-07-31,180.1,L,nordique,Boreal Shield East,"(51.5594, -63.5589)","51.86722222222223,-63.28361111111112",-63.28361111111112,51.86722222222223,90.66666666666667,31.0,704C64L.2018.7.31,9.093333333333334,44.0,QC,7.0,0.0,LAC EON,37.0,26.1,704C64L,27.5,2018.0,0.0,-2.2,0.0,1.0
8,329139,QC,51.399,-63.3979,2018-07-31,813.0,L,nordique,Boreal Shield East,"(51.399, -63.3979)","51.86722222222223,-63.28361111111112",-63.28361111111112,51.86722222222223,90.66666666666667,31.0,704C64L.2018.7.31,9.093333333333334,44.0,QC,7.0,0.0,LAC EON,37.0,26.1,704C64L,27.5,2018.0,0.0,-2.2,0.0,1.0
9,329545,QC,49.2399,-76.49689999999998,2019-07-28,0.0,L,intensive,Boreal Shield East,"(49.2399, -76.49689999999998)","49.757783333333336,-77.79307222222222",-77.79307222222222,49.757783333333336,90.66666666666667,28.0,7094637.2019.7.28,18.42,44.0,QC,7.0,0.0,MATAGAMI,44.166666666666664,26.1,7094637,27.5,2019.0,0.0,2.2,0.0,1.0
